token,count
LE,17122599.0
Cependant,17091677.0
région,17078757.0
croire,17058037.0
garde,17052220.0
as,17017239.0
religion,17005256.0
pieds,16999806.0
sol,16947391.0
F,16947338.0
libre,16904941.0
malade,16896916.0
lumière,16879562.0
Paul,16877192.0
millions,16856691.0
dû,16825990.0
d'autre,16815141.0
or,16815052.0
bientôt,16801046.0
puisque,16799100.0
ton,16780663.0
belle,16740284.0
véritable,16715024.0
es,16649738.0
'a,16634760.0
principes,16634589.0
solution,16626956.0
parfois,16572428.0
frais,16566644.0
disposition,16529216.0
servir,16527231.0
méthode,16360374.0
double,16358556.0
propos,16344450.0
1°,16344218.0
fonctions,16329758.0
pourra,16324277.0
décret,16304240.0
tableau,16300804.0
pourquoi,16261708.0
N,16244961.0
services,16221184.0
bout,16189809.0
ensemble,16182389.0
fût,16165713.0
l'armée,16131048.0
Quant,16126492.0
quelquefois,16115863.0
période,16112026.0
auteurs,16049267.0
nouveaux,16039559.0
pièce,16037927.0
sept,16036973.0
mémoire,16036636.0
J,16019232.0
villes,16017519.0
poids,16006983.0
jusqu'au,15998097.0
prend,15994281.0
centre,15984034.0
mise,15916474.0
reçu,15913483.0
§,15892359.0
éléments,15855375.0
D,15834052.0
commission,15805370.0
position,15800155.0
ai,15795812.0
tenir,15750209.0
montre,15748499.0
petites,15742694.0
moitié,15738281.0
P,15719663.0
existe,15709114.0
production,15706519.0
volonté,15689600.0
passe,15685504.0
actes,15659818.0
mit,15647165.0
35,15643621.0
département,15630699.0
action,15623068.0
soir,15622389.0
8c,15617586.0
courant,15607469.0
troupes,15603457.0
propriété,15596031.0
chambre,15593235.0
dehors,15579300.0
Cet,15574156.0
by,15556030.0
nommé,15534350.0
longue,15531495.0
rendu,15527209.0
Henri,15511273.0
~,15484131.0
60,15476794.0
figure,15445076.0
forte,15394361.0
acte,15390196.0
mariage,15375088.0
derniers,15355681.0
commun,15353679.0
„,15341082.0
articles,15338976.0
résultat,15311678.0
route,15267102.0
dispositions,15239955.0
--,15231244.0
rapports,15194724.0
for,15178105.0
condition,15143644.0
c'était,15136005.0
eaux,15108811.0
33,15085770.0
lignes,15042697.0
noms,15041961.0
pages,15024764.0
circonstances,15013341.0
forces,15008249.0
certaine,14991373.0
ouvrages,14985241.0
esprit,14974940.0
L,14963351.0
frère,14958210.0
premières,14954514.0
membre,14936301.0
pourtant,14928323.0
article,14883015.0
auquel,14875070.0
travers,14851665.0
large,14846781.0
bras,14801076.0
met,14775055.0
terme,14755972.0
lesquelles,14724801.0
marche,14716301.0
intérêts,14710678.0
devient,14678628.0
retour,14676276.0
soin,14653641.0
van,14644793.0
professeur,14642000.0
espèces,14607162.0
notamment,14601051.0
porter,14589057.0
per,14536192.0
groupe,14514951.0
venir,14477742.0
auprès,14473556.0
militaire,14450650.0
considérable,14444675.0
'or,14442791.0
Chambre,14442621.0
difficile,14420986.0
gros,14418078.0
connaissance,14413969.0
huit,14408216.0
différents,14405273.0
that,14376561.0
In,14366088.0
supérieure,14364854.0
mètres,14358754.0
population,14342147.0
feuilles,14332983.0
ciel,14324647.0
maladie,14322900.0
ancien,14311118.0
Qui,14310946.0
rouge,14276964.0
type,14260067.0
T,14242137.0
juge,14239197.0
température,14223936.0
avez,14221602.0
laisser,14214113.0
no,14201250.0
aller,14165871.0
armes,14149371.0
amis,14137254.0
Lyon,14132151.0
œuvre,14110247.0
couleur,14088132.0
R,14078316.0
matin,14069071.0
questions,14039536.0
Cour,14035213.0
den,14020113.0
DU,14005507.0
l'église,14002854.0
l'acide,13955657.0
del,13952150.0
observations,13935276.0
portant,13931965.0
'où,13926241.0
sieur,13924441.0
bord,13896561.0
celui-ci,13894172.0
vieux,13881415.0
régime,13866503.0
propres,13861602.0
longueur,13860820.0
début,13852522.0
Nord,13849684.0
mesures,13848179.0
animaux,13845885.0
crois,13813610.0
discours,13810187.0
uns,13795980.0
sujets,13767891.0
nombreuses,13766524.0
progrès,13743666.0
recherches,13733243.0
permet,13727067.0
moyenne,13704749.0
degré,13668055.0
demander,13649369.0
particulièrement,13642844.0
Mme,13640448.0
partout,13637887.0
impossible,13634331.0
chargé,13628054.0
niveau,13625745.0
sciences,13612306.0
habitants,13607951.0
construction,13596812.0
seigneur,13556848.0
traitement,13546560.0
supérieur,13545209.0
l'objet,13523247.0
hors,13520054.0
Français,13501848.0
sentiment,13488146.0
ta,13488080.0
chapitre,13486684.0
juste,13482885.0
facile,13478034.0
45,13464039.0
haute,13443875.0
guère,13427793.0
objets,13427646.0
id,13406678.0
blanc,13405730.0
peuples,13404163.0
page,13401134.0
prise,13397927.0
l'époque,13391690.0
U,13374483.0
différence,13352175.0
compris,13315169.0
l'Etat,13289185.0
32,13241261.0
é,13239055.0
cité,13224875.0
formation,13205831.0
l'intérieur,13201111.0
parole,13194097.0
preuve,13184694.0
Tous,13181753.0
République,13154565.0
au-dessus,13153751.0
Non,13132284.0
tient,13122101.0
intérêt,13112323.0
laisse,13099087.0
1er,13083738.0
idée,13079834.0
Jacques,13066658.0
3°,13055901.0
tribunal,13042829.0
conséquence,13024365.0
effets,13009098.0
fonction,12931146.0
Ne,12922128.0
morale,12914572.0
vingt,12890413.0
donnée,12885277.0
ami,12882431.0
suivre,12864077.0
réalité,12863219.0
objet,12859208.0
secours,12852988.0
critique,12795610.0
's,12790148.0
d’un,12784737.0
recevoir,12765144.0
000,12754994.0
connu,12730569.0
k,12724059.0
permis,12717567.0
ordinaire,12708767.0
entièrement,12705791.0
nécessité,12695240.0
°,12686658.0
d'argent,12676055.0
80,12673477.0
mode,12659238.0
complète,12634962.0
tels,12620150.0
durée,12618536.0
théorie,12589073.0
Y,12571508.0
culture,12565510.0
Aussi,12552312.0
8.,12550961.0
Monsieur,12545587.0
trouvent,12539345.0
faible,12512766.0
hauteur,12510394.0
conduite,12484373.0
VII,12479775.0
fonds,12459996.0
Sans,12458265.0
36,12452151.0
terres,12436345.0
sort,12429956.0
deuxième,12401528.0
suit,12375025.0
étrangers,12353151.0
généralement,12352752.0
province,12342677.0
nécessaires,12320721.0
gloire,12309284.0
domaine,12291148.0
elle-même,12286822.0
voyage,12270499.0
Voici,12263524.0
l',12259592.0
concerne,12230941.0
paroles,12220050.0
rend,12214586.0
section,12214221.0
fe,12205186.0
00,12201931.0
ordres,12192165.0
l'étude,12181050.0
heure,12175499.0
seraient,12168890.0
Londres,12164665.0
rencontre,12158532.0
d’une,12154282.0
chercher,12147591.0
caractères,12107081.0
conséquent,12090842.0
œuvres,12088427.0
suivante,12079895.0
conscience,12067471.0
royaume,12064901.0
relations,12059498.0
with,12056377.0
distance,12046254.0
soleil,12042334.0
Histoire,12035434.0
VI,12033834.0
plaisir,12032222.0
7.,12028649.0
masse,12027411.0
l'administration,12014766.0
l'Académie,12011236.0
politiques,11975200.0
religieux,11973844.0
vente,11970172.0
n'ai,11961380.0
Elles,11957041.0
causes,11954021.0
lieux,11952431.0
ministère,11946692.0
nation,11933760.0
matières,11927251.0
Marie,11921443.0
mari,11921387.0
qu'au,11919733.0
mérite,11903896.0
résulte,11897375.0
d'autant,11893605.0
goût,11883501.0
ouvriers,11862799.0
campagne,11854004.0
choix,11846702.0
détails,11842256.0
ex,11809116.0
l'idée,11787150.0
G,11783862.0
cm,11766878.0
heureux,11761013.0
séance,11738741.0
château,11732645.0
Cf,11720200.0
maisons,11714672.0
âge,11713593.0
études,11709298.0
eft,11708883.0
enfant,11697983.0
55,11695031.0
be,11686341.0
38,11671027.0
Se,11669408.0
plein,11658945.0
naissance,11654862.0
défaut,11652232.0
moindre,11646312.0
contient,11622020.0
37,11609474.0
fera,11602866.0
ut,11584494.0
terrain,11580621.0
édition,11570773.0
quoique,11562748.0
l'existence,11534764.0
lu,11523070.0
Ses,11520267.0
dernières,11517243.0
Car,11482893.0
donnent,11471564.0
Deux,11451638.0
usage,11440422.0
obtenir,11432626.0
vit,11413550.0
généraux,11406430.0
compagnie,11403877.0
reconnaître,11393123.0
dit-il,11380956.0
75,11379045.0
cheval,11370253.0
philosophie,11365740.0
liquide,11349087.0
publics,11344985.0
noir,11337298.0
arrive,11327820.0
problème,11320220.0
docteur,11288192.0
sais,11275198.0
auteur,11273462.0
publié,11267256.0
pierre,11244191.0
directeur,11218903.0
tiers,11213668.0
données,11212776.0
capitaine,11211815.0
l'an,11207033.0
chaleur,11206679.0
dépenses,11198945.0
procédé,11193279.0
70,11188678.0
absolument,11174855.0
Revue,11170055.0
donna,11160179.0
Commission,11151094.0
mauvais,11139257.0
départ,11124142.0
lorsqu'il,11122390.0
celle-ci,11117683.0
l'Europe,11112436.0
ennemis,11111108.0
police,11111035.0
prit,11108716.0
Fig,11108112.0
sociale,11107207.0
complètement,11095090.0
siècles,11086172.0
W.,11078662.0
li,11058282.0
appelle,11038332.0
entendu,11031392.0
l'abbé,11023603.0
Bruxelles,11007526.0
Journal,11007234.0
it,11005432.0
VIII,10991834.0
historique,10989970.0
soldats,10989206.0
bonheur,10988648.0
table,10956916.0
proposition,10956461.0
économique,10953114.0
l'honneur,10951755.0
port,10933382.0
tantôt,10927853.0
règle,10925837.0
l'autorité,10925556.0
commencement,10919118.0
saurait,10913075.0
Avec,10901544.0
entière,10890307.0
davantage,10873013.0
officiers,10860846.0
anglais,10840760.0
communes,10824401.0
48,10822859.0
vin,10809910.0
naturelle,10792637.0
immédiatement,10778481.0
théâtre,10778107.0
Saint,10777217.0
-—,10767598.0
tenu,10760210.0
d'y,10755577.0
delà,10754447.0
champ,10748544.0
égard,10745161.0
gaz,10738329.0
défense,10729622.0
doctrine,10722340.0
parfaitement,10721484.0
siège,10718548.0
avis,10705608.0
lire,10699518.0
veux,10686494.0
utile,10679670.0
Lorsque,10677820.0
sein,10672320.0
important,10667178.0
facilement,10665864.0
lecture,10652967.0
Président,10641205.0
concours,10640893.0
l'amour,10637301.0
ailleurs,10636394.0
fallait,10636381.0
payer,10630655.0
division,10627775.0
élevé,10625168.0
génie,10624891.0
principaux,10622583.0
cf,10609612.0
Cela,10605001.0
combien,10601766.0
territoire,10575150.0
simplement,10570584.0
fleurs,10566306.0
marché,10562868.0
IX,10549657.0
principal,10543155.0
étude,10541442.0
établi,10536031.0
44,10527924.0
Belgique,10508906.0
composition,10507309.0
fi,10500053.0
fortune,10499601.0
papier,10485265.0
style,10478295.0
entier,10453462.0
directement,10440448.0
voilà,10431599.0
nord,10428412.0
Guillaume,10410797.0
perdu,10402589.0
règne,10402066.0
chacune,10397447.0
bons,10389429.0
l'usage,10380760.0
l'intérêt,10375293.0
Depuis,10368276.0
comprendre,10366323.0
Philippe,10342684.0
documents,10296869.0
39,10282450.0
l'ensemble,10273424.0
conduit,10256273.0
frères,10249596.0
humaine,10245790.0
naturel,10220223.0
chemins,10216264.0
vivre,10214113.0
43,10207941.0
toutefois,10207137.0
lendemain,10201777.0
civil,10200565.0
z,10189367.0
Mon,10186750.0
recherche,10176420.0
pense,10167222.0
réponse,10166306.0
expériences,10166172.0
village,10152041.0
faute,10133313.0
l'occasion,10127598.0
42,10115518.0
source,10112475.0
portée,10112007.0
manque,10101516.0
luy,10099181.0
actions,10069366.0
remarquer,10062567.0
personnel,10059169.0
tirer,10046673.0
pauvre,10044568.0
Comment,10031511.0
opérations,10030920.0
comprend,10018434.0
croit,10012170.0
quant,9997333.0
Attendu,9985233.0
$,9979252.0
musique,9978226.0
l'influence,9961575.0
secrétaire,9955120.0
obtenu,9941646.0
arrêté,9927704.0
C'était,9919842.0
militaires,9916070.0
Alors,9907725.0
voici,9903305.0
op,9891857.0
social,9884150.0
viennent,9870141.0
Voilà,9868008.0
concernant,9857369.0
valeurs,9855418.0
aussitôt,9852580.0
Seigneur,9851000.0
500,9846514.0
dos,9842467.0
cl,9836341.0
soumis,9835124.0
l'œuvre,9834798.0
raisons,9834744.0
mission,9827497.0
constitution,9826877.0
Plus,9824343.0
l'aide,9818867.0
pape,9813232.0
armée,9809111.0
discussion,9808727.0
formule,9803101.0
atteint,9792636.0
pl,9787488.0
Russie,9787186.0
décision,9783369.0
sert,9783027.0
commence,9773052.0
،,9771168.0
chevaux,9769638.0
produire,9766943.0
suffit,9749964.0
Gouvernement,9746818.0
telles,9746709.0
efforts,9743452.0
réserve,9721057.0
pression,9719800.0
former,9716209.0
vint,9705085.0
41,9697741.0
entendre,9697178.0
composé,9692147.0
poète,9684980.0
langage,9662285.0
Voy,9641710.0
200,9641462.0
malades,9636864.0
scène,9630510.0
quod,9627764.0
quinze,9621275.0
médecine,9616818.0
douze,9603232.0
voulait,9603214.0
cents,9603108.0
fans,9600913.0
phénomènes,9580581.0
disait,9576915.0
cesse,9575679.0
santé,9572469.0
parlé,9560706.0
création,9557630.0
montrer,9556357.0
règles,9555777.0
porté,9545561.0
unique,9544903.0
Dès,9542481.0
bataille,9518090.0
LES,9495230.0
moderne,9493223.0
47,9484277.0
formé,9483486.0
histoire,9481402.0
venait,9479499.0
bureau,9476385.0
célèbre,9473666.0
simples,9395412.0
trouvait,9392569.0
plantes,9384079.0
désir,9382908.0
l'origine,9382207.0
vont,9381756.0
substance,9378026.0
sortir,9373920.0
su,9365867.0
résistance,9363441.0
l'heure,9361514.0
confiance,9355565.0
46,9354081.0
court,9348677.0
vent,9347047.0
l'Eglise,9328383.0
Pendant,9311307.0
laissé,9311057.0
90,9296031.0
penser,9284767.0
propriétaire,9283301.0
celte,9281392.0
appelé,9279604.0
mœurs,9275657.0
communication,9275001.0
51,9274432.0
reine,9274106.0
cher,9271545.0
mouvements,9267147.0
Tu,9263441.0
titres,9262045.0
royale,9256788.0
paru,9253660.0
représente,9250343.0
l'empereur,9244229.0
